Parent_First_Last,Child_First_Last
Max Bazerman,Modupe Akinola
Terri Kurtzberg,Liuba Belkin
Max Bazerman,John Beshears
Max Bazerman,Sally Blount
Margaret Neale,Sally Blount
Kathleen McGinn,Shelley Brickson
Don Moore,Daylian Cain
Max Bazerman,Eugene Caruso
Jeffrey Polzer,Heather Caruso
Max Bazerman,Dolly Chugh
Max Bazerman,Lucas Coffman
Margaret Neale,Jared Curhan
Max Bazerman,Kristina Diekmann
Karen Jehn,Lorna Doucet
Katherine Phillips,Tracy Dumas
Max Bazerman,Pinar Fletcher
Kathleen McGinn,Pinar Fletcher
Margaret Neale,Alison Fragale
Max Bazerman,Francesca Gino
Karen Jehn,Lindred Greer
Kimberly Wade-Benzoni,Morela Hernandez
Kathleen McGinn,Marya Besharov
Margaret Neale,Melissa Thomas-Hunt
Margaret Neale,Karen Jehn
Leigh Thompson,Laura Kray
Max Bazerman,Terri Kurtzberg
Elizabeth Mannix,Sujin Lee
Sally Blount,Sophie Leroy
Kimberly Wade-Benzoni,Min Li
Kathleen McGinn,Elizabeth Long Lingo
Katherine Phillips,Denise Loyd
Max Bazerman,Elizabeth Mannix
Max Bazerman,Kathleen McGinn
Max Bazerman,Katherine Milkman
Max Bazerman,Don Moore
Leigh Thompson,Charles Naquin
Max Bazerman,Margaret Neale
Max Bazerman,Neeru Paharia
Margaret Neale,Katherine Phillips
Margaret Neale,Jeffrey Polzer
Elizabeth Mannix,Chad Proell
Kathleen McGinn,Hannah Riley Bowles
Karen Jehn,Sonja Rispens
Elizabeth Mannix,Matthew Rodgers
Max Bazerman,Todd Rogers
Leigh Thompson,Ashleigh Rosette
Max Bazerman,Ovul Sezer
Francesca Gino,Ovul Sezer
Max Bazerman,Lisa Shu
Margaret Neale,Marwan Sinaceur
Max Bazerman,Harris Sondak
Max Bazerman,Ann Tenbrunsel
Karen Jehn,Sherry Thatcher
Max Bazerman,Leigh Thompson
Kimberly Wade-Benzoni,Leigh Tost
Max Bazerman,Tom Tripp
Max Bazerman,Chia-Jung Tsay
Max Bazerman,Kimberly Wade-Benzoni
Harris Sondak,Lori Wadsworth
Karen Jehn,Danielle Warren
Margaret Neale,Scott Wiltermuth
Max Bazerman,Ting Zhang
Francesca Gino,Ting Zhang
Harris Sondak,James Lavelle
Harris Sondak,Sreedhari Desai
Katherine Phillips,Robert Lount
Katherine Phillips,Erika Hall
Katherine Phillips,Sun Young Kim
Max Bazerman,Julia Lee
Francesca Gino,Julia Lee
Margaret Neale,Peter Belmi
Margaret Neale,David Daniels
Jeffrey Polzer,Sujin Jang
Kimberly Wade-Benzoni,Matthew Fox
Katherine Milkman,Hengchen Dai
Don Moore,Joe Radzevick
Don Moore,Elizabeth Tenney
Don Moore,Uriel Haran
Eugene Caruso,Zach Burns
Kathleen McGinn,Spela Trefalt
Kristina Diekmann,Sheli Walker
Kristina Diekmann,McKenzie Rees
Don Moore,Jenn Logg
Katherine Phillips,Ashley Martin
Margaret Neale,Ashley Martin
Katherine Milkman,Edward Chang
John Beshears,Deniz Aydin
John Beshears,Talia Gillis
Terri Kurtzberg,Sanghoon Kang
Terri Kurtzberg,Lisa Lewin
Don Moore,Derek Schatz
Francesca Gino,Paul Green
Francesca Gino,Martha Jeong
Francesca Gino,Hayley Blunden
Francesca Gino,Jeff Steiner
Harris Sondak,Jared Poole
Todd Rogers,Carly Robinson
Scott Wiltermuth,Medha Raj
Scott Wiltermuth,David Newman
Leigh Tost,Ashley Hardin
Kathleen McGinn,Alexandra Feldberg
Kathleen McGinn,Rachel Arnett
Kathleen McGinn,Ryann Manning
Kathleen McGinn,Andrew Molinsky
Kathleen McGinn,Nancy Katz
Eugene Caruso,Jessica Bregant
Elizabeth Mannix,Wayne Johnson
Morela Hernandez,Cristiano Guarana
Morela Hernandez,Scott Baker
Marwan Sinaceur,Hajo Adam
Marwan Sinaceur,Christophe Haag
Marwan Sinaceur,Otilia Obodaru
Marwan Sinaceur,Alvaro San Martin
Marwan Sinaceur,Dimitri Vasiljevic
Max Bazerman,Ariella Kristal
Francesca Gino,Grace Cormier
Francesca Gino,Aurora Turek
