First_Last,Website,googled_sites,website_is_same
Modupe Akinola,https://www.modupeakinola.com/,https://www8.gsb.columbia.edu/cbs-directory/detail/ma2916,0
Max Bazerman,https://scholar.harvard.edu/bazerman,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6420,0
Liuba Belkin,https://cbe.lehigh.edu/faculty-research/faculty/management/liuba-belkin,https://cbe.lehigh.edu/faculty-research/faculty/management/liuba-belkin,1
John Beshears,http://www.hbs.edu/jbeshears,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=8943,1
Sally Blount,http://www.kellogg.northwestern.edu/faculty/directory/blount_sally.aspx,http://www.kellogg.northwestern.edu/faculty/directory/blount_sally.aspx,1
Shelley Brickson,http://business.uic.edu/home-uic-business/faculty-departments-research/department-of-managerial-studies/faculty/shelley-brickson,http://business.uic.edu/faculty/shelley-brickson,1
Daylian Cain,https://som.yale.edu/faculty/daylian-cain,https://som.yale.edu/faculty/daylian-cain,1
Eugene Caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/e-caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/e-caruso,1
Heather Caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/h-caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/h-caruso,1
Dolly Chugh,http://pages.stern.nyu.edu/~dchugh/index.html,https://www.stern.nyu.edu/faculty/bio/dolly-chugh,0
Lucas Coffman,https://sites.google.com/site/lucascoffman/,https://economics.harvard.edu/people/luke-coffman,0
Jared Curhan,http://mitsloan.mit.edu/faculty/detail.php?in_spseqno=41164,https://mitsloan.mit.edu/faculty/directory/jared-r-curhan,1
Kristina Diekmann,http://faculty.utah.edu/u0233183-Kristina_Diekmann/biography/index.hml,https://faculty.utah.edu/u0233183-Kristina_Diekmann/hm/index.hml,1
Lorna Doucet,https://www.business.illinois.edu/faculty/doucet.html,https://www.business.illinois.edu/faculty/doucet.html,1
Tracy Dumas,https://fisher.osu.edu/people/dumas.35,https://fisher.osu.edu/people/dumas.35,1
Pinar Fletcher,https://www.linkedin.com/in/pinar-onur-fletcher-040182/,https://wappp.hks.harvard.edu/people/pinar-fletcher,0
Alison Fragale,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/alison-fragale,https://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/alison-fragale,1
Francesca Gino,http://www.hbs.edu/fgino,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=271812,1
Lindred Greer,http://www.gsb.stanford.edu/faculty-research/faculty/lindred-leura-greer,https://www.gsb.stanford.edu/faculty-research/faculty/lindred-leura-greer,1
Morela Hernandez,http://www.darden.virginia.edu/web/Faculty-Research/Directory/Full-time/Morela-Hernandez/,https://www.darden.virginia.edu/faculty-research/directory/morela-hernandez/,1
Marya Besharov,http://www.ilr.cornell.edu/directory/mlb363/,https://www.ilr.cornell.edu/people/marya-besharov,1
Melissa Thomas-Hunt,https://business.vanderbilt.edu/bio/melissa-thomas-hunt/,https://vanderbilt.edu/provost/people/thomas-hunt.php,0
Karen Jehn,https://mbs.edu/facultyresearch/facultydirectory/Pages/KarenJehn.aspx,https://www.findanexpert.unimelb.edu.au/display/person196861,0
Laura Kray,http://facultybio.haas.berkeley.edu/faculty-list/kray-laura/,https://haas.berkeley.edu/faculty/kray-laura/,0
Terri Kurtzberg,http://www.business.rutgers.edu/faculty/terri-kurtzberg,https://www.business.rutgers.edu/faculty/terri-kurtzberg,1
Sujin Lee,http://hilab.kaist.ac.kr/?page_id=357,https://www.bgsu.edu/musical-arts/faculty-and-staff/sujin-lee.html,0
Sophie Leroy,https://www.uwb.edu/business/faculty/sleroy,https://www.uwb.edu/business/faculty/sleroy,1
Min Li,http://carlsonschool.umn.edu/faculty/min-li,https://education.uw.edu/people/faculty/minli,0
Elizabeth Long Lingo,https://www.wpi.edu/people/faculty/ellingo,https://www.wpi.edu/people/faculty/ellingo,1
Denise Loyd,https://business.illinois.edu/profile/denise-loyd/,https://giesbusiness.illinois.edu/profile/denise-loyd,0
Elizabeth Mannix,https://www.johnson.cornell.edu/Faculty-And-Research/Profile?id=eam33,https://www.johnson.cornell.edu/faculty-research/faculty/eam33/,1
Kathleen McGinn,http://www.hbs.edu/kmcginn,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6569,1
Katherine Milkman,http://opim.wharton.upenn.edu/~kmilkman/,https://oid.wharton.upenn.edu/profile/kmilkman/,0
Don Moore,http://facultybio.haas.berkeley.edu/faculty-list/moore-don,https://haas.berkeley.edu/faculty/moore-don/,0
Charles Naquin,https://business.depaul.edu/faculty/faculty-a-z/Pages/charles-naquin.aspx,https://business.depaul.edu/faculty/faculty-a-z/Pages/charles-naquin.aspx,1
Margaret Neale,http://www.gsb.stanford.edu/faculty-research/faculty/margaret-neale,https://www.gsb.stanford.edu/faculty-research/faculty/margaret-neale,1
Neeru Paharia,http://explore.georgetown.edu/people/np412/?PageTemplateID=319,https://www.neerupaharia.com/,0
Katherine Phillips,http://www8.gsb.columbia.edu/cbs-directory/detail/kp2447,https://www8.gsb.columbia.edu/cbs-directory/detail/kp2447,1
Jeffrey Polzer,http://www.hbs.edu/jpolzer,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6627,1
Chad Proell,"http://www.neeley.tcu.edu/About_Neeley/Faculty_and_Staff/Proell,_Chad.aspx","http://www.neeley.tcu.edu/About_Neeley/Faculty_and_Staff/Proell,_Chad.aspx",1
Hannah Riley Bowles,https://www.hks.harvard.edu/faculty/hannah-riley-bowles,https://www.hks.harvard.edu/faculty/hannah-riley-bowles,1
Sonja Rispens,http://www.tue.nl/en/university/departments/industrial-engineering-innovation-sciences/the-department/staff/detail/ep/e/d/ep-uid/20085769/ep-tab/4/,https://www.tue.nl/en/research/researchers/sonja-rispens/,1
Matthew Rodgers,https://faculty.ithaca.edu/mrodgers/,https://www.imdb.com/name/nm3872438/,0
Todd Rogers,http://scholar.harvard.edu/todd_rogers/,https://www.hks.harvard.edu/faculty/todd-rogers,0
Ashleigh Rosette,http://www.fuqua.duke.edu/faculty_research/faculty_directory/rosette/,https://www.fuqua.duke.edu/faculty/ashleigh-rosette,1
Ovul Sezer,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/ovul-sezer,https://www.kenan-flagler.unc.edu/faculty/directory/ovul-sezer/,1
Lisa Shu,https://www.london.edu/faculty-and-research/faculty/profiles/s/shu-l-1#.Wrz0hH8h1Go,https://www.london.edu/faculty-and-research/faculty/profiles/s/shu-l-1,1
Marwan Sinaceur,https://www.insead.edu/faculty-research/faculty/marwan-sinaceur,http://www45.essec.edu/professorsCV/showCV.do?keyUrl=marwan-sinaceur,0
Harris Sondak,https://faculty.utah.edu/u0028487-Harris_Sondak/hm/index.hml,https://faculty.utah.edu/u0028487-Harris_Sondak/hm/index.hml,1
Ann Tenbrunsel,http://mendoza.nd.edu/research-and-faculty/directory/ann-tenbrunsel/,http://mendoza.nd.edu/research-and-faculty/directory/ann-tenbrunsel/,1
Sherry Thatcher,https://sc.edu/study/colleges_schools/moore/directory/thatcher_sherry.php,https://sc.edu/study/colleges_schools/moore/directory/thatcher_sherry.php,1
Leigh Thompson,www.LeighThompson.com,http://www.kellogg.northwestern.edu/faculty/directory/thompson_leigh.aspx,0
Leigh Tost,https://www.marshall.usc.edu/personnel/leigh-tost,https://www.marshall.usc.edu/personnel/leigh-tost,1
Tom Tripp,http://directory.vancouver.wsu.edu/people/tom-tripp,https://directory.vancouver.wsu.edu/people/tom-tripp,1
Chia-Jung Tsay,https://www.mgmt.ucl.ac.uk/people/chia-jungtsay,https://www.mgmt.ucl.ac.uk/people/chia-jungtsay,1
Kimberly Wade-Benzoni,http://www.fuqua.duke.edu/faculty_research/faculty_directory/wade-benzoni/,https://www.fuqua.duke.edu/faculty/kimberly-wade-benzoni,1
Lorie Wadsworth,https://marriottschool.byu.edu/directory/details?id=5253,https://marriottschool.byu.edu/directory/details?id=5253,1
Danielle Warren,http://www.business.rutgers.edu/faculty/danielle-warren,https://www.business.rutgers.edu/faculty/danielle-warren,1
Scott Wiltermuth,https://www.marshall.usc.edu/personnel/scott-wiltermuth,https://www.marshall.usc.edu/personnel/scott-wiltermuth,1
Ting Zhang,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=567321,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=567321,1
James Lavelle,https://wweb.uta.edu/management/lavelle/default.htm,https://en.wikipedia.org/wiki/James_Lavelle,0
Sreedhari Desai,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/sreedhari-desai.aspx,https://www.kenan-flagler.unc.edu/faculty/directory/sreedhari-desai/,1
Robert Lount,https://fisher.osu.edu/people/lount.1,https://fisher.osu.edu/people/lount.1,1
Erika Hall,http://goizueta.emory.edu/Faculty/academic_areas/organization_management/hall_erika.html,https://medium.com/@mulegirl,0
Sun Young Kim,http://spia.uga.edu/faculty-member/sun-young-kim/,https://spia.uga.edu/faculty-member/sun-young-kim/,1
Julia Lee,https://julialee.us/bio/cv/,https://michiganross.umich.edu/faculty-research/faculty/julia-lee,0
Peter Belmi,http://www.darden.virginia.edu/faculty-research/directory/peter-belmi/,https://www.darden.virginia.edu/faculty-research/directory/peter-belmi/,1
David Daniels,http://www.davidpdaniels.com/,https://www.michiganradio.org/post/heres-what-you-need-know-about-david-daniels-um-professor-and-opera-singer-accused-rape,0
Sujin Jang,https://www.insead.edu/faculty-research/faculty/sujin-jang,https://www.insead.edu/faculty-research/faculty/sujin-jang,1
Matthew Fox,http://www.usd.edu/faculty-and-staff/Matthew-Fox,http://www.matthewfox.org/university-of-creation-spirituality,0
Hengchen Dai,https://sites.google.com/site/olinhengchendai/home,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/dai,0
Joe Radzevick,https://www.gettysburg.edu/academics/management/faculty/employee_detail.dot?empId=06465171120013374&pageTitle=Joseph+Radzevick,https://www.gettysburg.edu/academic-programs/management/faculty/employee_detail.dot?empId=06465171120013374&pageTitle=Joseph+Robert+Radzevick,1
Elizabeth Tenney,https://faculty.utah.edu/u0976730-ELIZABETH_R._TENNEY/hm/index.hml,https://faculty.utah.edu/u0976730-ELIZABETH_R._TENNEY/research/index.hml,1
Uriel Haran,http://in.bgu.ac.il/en/fom/ManagementDep/Pages/staff/Dr--Uriel-Haran.aspx,http://www.urielharan.com/,0
Zach Burns,https://www.usfca.edu/faculty/zachary-burns,https://www.usfca.edu/management/faculty/zachary-burns,1
Spela Trefalt,http://www.simmons.edu/Faculty/Spela-Trefalt,https://www.simmons.edu/academics/faculty/spela-trefalt,1
Sheli Walker,https://marriottschool.byu.edu/directory/details?id=1506,https://marriottschool.byu.edu/directory/details?id=1506,1
McKenzie Rees,http://www.smu.edu/Cox/Departments/FacultyDirectory/ReesMcKenzie,https://www.smu.edu/cox/our-people-and-community/faculty/McKenzie-Rees,1
Jenn Logg,http://www.jennlogg.com/,https://www.jennlogg.com/,1
Ashley Martin,https://www.ashleyemartin.com/,https://www.gsb.stanford.edu/faculty-research/faculty/ashley-martin,0
Edward Chang,https://oid.wharton.upenn.edu/profile/changed/,https://profiles.ucsf.edu/edward.chang,0
Deniz Aydin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=daydin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=daydin,1
Talia Gillis,http://www.hbs.edu/tgillis,https://hls.harvard.edu/dept/graduate-program/talia-gillis/,0
Sanghoon Kang,,https://www.baylor.edu/biology/index.php?id=92104,1
Lisa Lewin,https://www.linkedin.com/in/lisalewin,https://www.linkedin.com/in/lisalewin,1
Derek Schatz,https://www.linkedin.com/in/derek-schatz-87522968,https://www.linkedin.com/in/derek-schatz-87522968,1
Paul Green,http://paulgreenjr.com/,https://paulgreenmusic.com/about/,0
Martha Jeong,http://www.hbs.edu/mjeong,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=704704,1
Hayley Blunden,http://www.hbs.edu/hblunden,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=743120,1
Jeff Steiner,http://www.hbs.edu/jsteiner,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=534207,1
Jared Poole,http://eccles.utah.edu/team/jared-poole/,https://eccles.utah.edu/team/jared-poole/,1
Carly Robinson,https://scholar.harvard.edu/carlyrobinson/home,https://scholar.harvard.edu/carlyrobinson/home,1
Medha Raj,https://www.marshall.usc.edu/personnel/medha-raj,https://www.marshall.usc.edu/personnel/medha-raj,1
David Newman,https://www.marshall.usc.edu/personnel/david-newman,https://en.wikipedia.org/wiki/David_Newman_(political_geographer),0
Ashley Hardin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=aehardin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=aehardin,1
Alexandra Feldberg,http://www.hbs.edu/afeldberg,https://www.alexandracfeldberg.com/,0
Rachel Arnett,https://mgmt.wharton.upenn.edu/profile/rarnett/,https://mgmt.wharton.upenn.edu/profile/rarnett/,1
Ryann Manning,http://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Manning,http://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Manning,1
Andrew Molinsky,http://www.brandeis.edu/departments/psych/people/facultyguide/person.html?emplid=780d777bd75b9265dcb63c0c9edf2bfc0e62b076,https://www.brandeis.edu/global/faculty/facultyguide/person.html?emplid=780d777bd75b9265dcb63c0c9edf2bfc0e62b076,1
Nancy Katz,http://www.brandeis.edu/facultyguide/person.html?emplid=9cacc28f1cdc574f0a40f7f15c784766e304bb17,https://www.brandeis.edu/facultyguide/person.html?emplid=9cacc28f1cdc574f0a40f7f15c784766e304bb17,1
Jessica Bregant,http://home.uchicago.edu/~jbregant/,http://home.uchicago.edu/~jbregant/,1
Wayne Johnson,https://www.johnson.cornell.edu/Programs/PhD-Program/Current-Students?id=wrj5,https://gradschool.cornell.edu/spotlights/student-spotlight-wayne-johnson/,0
Cristiano Guarana,http://business.academickeys.com/whoswho.php?dothis=display&folk[IDX]=1024668,https://kelley.iu.edu/faculty-research/faculty-directory/profile.cshtml?id=CGUARANA,0
Scott Baker,http://www.darden.virginia.edu/phd/research-community/,http://www.kellogg.northwestern.edu/faculty/directory/baker_scott_r.aspx,0
Hajo Adam,https://business.rice.edu/person/hajo-adam,https://business.rice.edu/person/hajo-adam,1
Christophe Haag,http://www.em-lyon.com/en/faculte-recherche-enseignement-superieur/faculte-recherche-emlyon/corps-professoral/Permanent-Professors/Christophe-HAAG,https://www.em-lyon.com/en/faculty-research-education/faculty-research/international-business-school-professors/Permanent-Professors/Christophe-HAAG,1
Otilia Obodaru,https://business.rice.edu/person/otilia-obodaru,https://business.rice.edu/person/otilia-obodaru,1
Alvaro San Martin,http://www.iese.edu/en/faculty-research/professors/faculty-directory/alvaro-san-martin/,https://www.iese.edu/faculty-research/faculty/alvaro-san-martin/,1
Dimitri Vasiljevic,http://www.neoma-bs.com/en/faculty-and-research/faculty/directory/vasiljevic-dimitri,https://www.researchgate.net/profile/Dimitri_Vasiljevic,0
Ariella Kristal,http://www.hbs.edu/akristal,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=962367,1
Grace Cormier,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1069144,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1069144,1
Aurora Turek,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1069444,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=1069444,1
