First_Last,Website,,,
Modupe Akinola,https://www.modupeakinola.com/,,,
Max Bazerman,https://scholar.harvard.edu/bazerman,,,
Liuba Belkin,https://cbe.lehigh.edu/faculty-research/faculty/management/liuba-belkin,,,
John Beshears,http://www.hbs.edu/jbeshears,,,
Sally Blount,http://www.kellogg.northwestern.edu/faculty/directory/blount_sally.aspx,,,
Shelley Brickson,http://business.uic.edu/home-uic-business/faculty-departments-research/department-of-managerial-studies/faculty/shelley-brickson,,,
Daylian Cain,https://som.yale.edu/faculty/daylian-cain,,,
Eugene Caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/e-caruso,,,
Heather Caruso,https://www.anderson.ucla.edu/faculty-and-research/management-and-organizations/faculty/h-caruso,,,
Dolly Chugh,http://pages.stern.nyu.edu/~dchugh/index.html,,,
Lucas Coffman,https://sites.google.com/site/lucascoffman/,,,
Jared Curhan,http://mitsloan.mit.edu/faculty/detail.php?in_spseqno=41164,,,
Kristina Diekmann,http://faculty.utah.edu/u0233183-Kristina_Diekmann/biography/index.hml,,,
Lorna Doucet,http://www.fdsm.fudan.edu.cn/en/teacher/preview.aspx?UID=138752,,,
Tracy Dumas,https://fisher.osu.edu/people/dumas.35,,,
Pinar Fletcher,https://www.linkedin.com/in/pinar-onur-fletcher-040182/,,,
Alison Fragale,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/alison-fragale,,,
Francesca Gino,http://www.hbs.edu/fgino,,,
Lindred Greer,http://www.gsb.stanford.edu/faculty-research/faculty/lindred-leura-greer,,,
Morela Hernandez,http://www.darden.virginia.edu/web/Faculty-Research/Directory/Full-time/Morela-Hernandez/,,,
Marya Besharov,http://www.ilr.cornell.edu/directory/mlb363/,,,
Melissa Thomas-Hunt,https://www.linkedin.com/in/melissa-thomas-hunt-2843196,,,
Karen Jehn,https://www.findanexpert.unimelb.edu.au/display/person196861,,,
Laura Kray,http://facultybio.haas.berkeley.edu/faculty-list/kray-laura/,,,
Terri Kurtzberg,http://www.business.rutgers.edu/faculty/terri-kurtzberg,,,
Sujin Lee,http://hilab.kaist.ac.kr/?page_id=357,,,
Sophie Leroy,https://www.uwb.edu/business/faculty/sleroy,,,
Min Li,https://bus.wisc.edu/faculty/min-li,,,
Elizabeth Long Lingo,https://www.wpi.edu/people/faculty/ellingo,,,
Denise Loyd,https://giesbusiness.illinois.edu/profile/denise-loyd,,,
Elizabeth Mannix,https://www.johnson.cornell.edu/Faculty-And-Research/Profile?id=eam33,,,
Kathleen McGinn,http://www.hbs.edu/kmcginn,,,
Katherine Milkman,http://opim.wharton.upenn.edu/~kmilkman/,,,
Don Moore,http://facultybio.haas.berkeley.edu/faculty-list/moore-don,,,
Charles Naquin,https://business.depaul.edu/faculty/faculty-a-z/Pages/charles-naquin.aspx,,,
Margaret Neale,http://www.gsb.stanford.edu/faculty-research/faculty/margaret-neale,,,
Neeru Paharia,http://explore.georgetown.edu/people/np412/?PageTemplateID=319,,,
Katherine Phillips,http://www8.gsb.columbia.edu/cbs-directory/detail/kp2447,,,
Jeffrey Polzer,http://www.hbs.edu/jpolzer,,,
Chad Proell,"http://www.neeley.tcu.edu/About_Neeley/Faculty_and_Staff/Proell,_Chad.aspx",,,
Hannah Riley Bowles,https://www.hks.harvard.edu/faculty/hannah-riley-bowles,,,
Sonja Rispens,http://www.tue.nl/en/university/departments/industrial-engineering-innovation-sciences/the-department/staff/detail/ep/e/d/ep-uid/20085769/ep-tab/4/,,,
Matthew Rodgers,https://faculty.ithaca.edu/mrodgers/,,,
Todd Rogers,http://scholar.harvard.edu/todd_rogers/,,,
Ashleigh Rosette,http://www.fuqua.duke.edu/faculty_research/faculty_directory/rosette/,,,
Ovul Sezer,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/ovul-sezer,,,
Lisa Shu,https://www.london.edu/faculty-and-research/faculty/profiles/s/shu-l-1#.Wrz0hH8h1Go,,,
Marwan Sinaceur,http://www45.essec.edu/professorsCV/showCV.do?keyUrl=marwan-sinaceur,,,
Harris Sondak,https://faculty.utah.edu/u0028487-Harris_Sondak/hm/index.hml,,,
Ann Tenbrunsel,http://mendoza.nd.edu/research-and-faculty/directory/ann-tenbrunsel/,,,
Sherry Thatcher,https://sc.edu/study/colleges_schools/moore/directory/thatcher_sherry.php,,,
Leigh Thompson,www.LeighThompson.com,,,
Leigh Tost,https://www.marshall.usc.edu/personnel/leigh-tost,,,
Tom Tripp,http://directory.vancouver.wsu.edu/people/tom-tripp,,,
Chia-Jung Tsay,https://www.mgmt.ucl.ac.uk/people/chia-jungtsay,,,
Kimberly Wade-Benzoni,http://www.fuqua.duke.edu/faculty_research/faculty_directory/wade-benzoni/,,,
Lori Wadsworth,https://marriottschool.byu.edu/directory/details?id=5253,,,
Danielle Warren,http://www.business.rutgers.edu/faculty/danielle-warren,,,
Scott Wiltermuth,https://www.marshall.usc.edu/personnel/scott-wiltermuth,,,
Ting Zhang,http://www.hbs.edu/tzhang,,,
James Lavelle,https://wweb.uta.edu/management/lavelle/default.htm,,,
Sreedhari Desai,http://www.kenan-flagler.unc.edu/faculty/directory/organizational-behavior/sreedhari-desai.aspx,,,
Robert Lount,https://fisher.osu.edu/people/lount.1,,,
Erika Hall,https://goizueta.emory.edu/faculty/profiles/erika-v-hall,,,
Sun Young Kim,http://spia.uga.edu/faculty-member/sun-young-kim/,,,
Julia Lee,https://julialee.us/bio/cv/,,,
Peter Belmi,http://www.darden.virginia.edu/faculty-research/directory/peter-belmi/,,,
David Daniels,http://www.davidpdaniels.com/,,,
Sujin Jang,https://www.insead.edu/faculty-research/faculty/sujin-jang,,,
Matthew Fox,http://www.usd.edu/faculty-and-staff/Matthew-Fox,,,
Hengchen Dai,https://sites.google.com/site/olinhengchendai/home,,,
Joe Radzevick,https://www.gettysburg.edu/academics/management/faculty/employee_detail.dot?empId=06465171120013374&pageTitle=Joseph+Radzevick,,,
Elizabeth Tenney,https://faculty.utah.edu/u0976730-ELIZABETH_R._TENNEY/hm/index.hml,,,
Uriel Haran,http://in.bgu.ac.il/en/fom/ManagementDep/Pages/staff/Dr--Uriel-Haran.aspx,,,
Zach Burns,https://www.usfca.edu/faculty/zachary-burns,,,
Spela Trefalt,http://www.simmons.edu/Faculty/Spela-Trefalt,,,
Sheli Walker,https://marriottschool.byu.edu/directory/details?id=1506,,,
McKenzie Rees,http://www.smu.edu/Cox/Departments/FacultyDirectory/ReesMcKenzie,,,
Jenn Logg,http://www.jennlogg.com/,,,
Ashley Martin,https://www.ashleyemartin.com/,,,
Edward Chang,https://oid.wharton.upenn.edu/profile/changed/,,,
Deniz Aydin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=daydin,,,
Talia Gillis,http://www.hbs.edu/tgillis,,,
Sanghoon Kang,https://www.sanghoonkang.com/,,,
Lisa Lewin,https://www.linkedin.com/in/lisalewin,,,
Derek Schatz,https://www.linkedin.com/in/derek-schatz-87522968,,,
Paul Green,http://paulgreenjr.com/,,,
Martha Jeong,http://www.hbs.edu/mjeong,,,
Hayley Blunden,http://www.hbs.edu/hblunden,,,
Jeff Steiner,http://www.hbs.edu/jsteiner,,,
Jared Poole,http://eccles.utah.edu/team/jared-poole/,,,
Carly Robinson,https://scholar.harvard.edu/carlyrobinson/home,,,
Medha Raj,https://www.marshall.usc.edu/personnel/medha-raj,,,
David Newman,https://www.marshall.usc.edu/personnel/david-newman,,,
Ashley Hardin,https://olin.wustl.edu/EN-US/Faculty-Research/Faculty/Pages/FacultyDetail.aspx?username=aehardin,,,
Alexandra Feldberg,https://www.alexandracfeldberg.com/,,,
Rachel Arnett,https://mgmt.wharton.upenn.edu/profile/rarnett/,,,
Ryann Manning,http://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Manning,,,
Andrew Molinsky,http://www.brandeis.edu/departments/psych/people/facultyguide/person.html?emplid=780d777bd75b9265dcb63c0c9edf2bfc0e62b076,,,
Nancy Katz,http://www.brandeis.edu/facultyguide/person.html?emplid=9cacc28f1cdc574f0a40f7f15c784766e304bb17,,,
Jessica Bregant,http://home.uchicago.edu/~jbregant/,,,
Wayne Johnson,https://www.linkedin.com/in/wayne-johnson-41513259,,,
Cristiano Guarana,https://kelley.iu.edu/faculty-research/faculty-directory/profile.cshtml?id=CGUARANA,,,
Scott Baker,http://www.darden.virginia.edu/phd/research-community/,,,
Hajo Adam,https://business.rice.edu/person/hajo-adam,,,
Christophe Haag,http://www.em-lyon.com/en/faculte-recherche-enseignement-superieur/faculte-recherche-emlyon/corps-professoral/Permanent-Professors/Christophe-HAAG,,,
Otilia Obodaru,https://business.rice.edu/person/otilia-obodaru,,,
Alvaro San Martin,http://www.iese.edu/en/faculty-research/professors/faculty-directory/alvaro-san-martin/,,,
Dimitri Vasiljevic,http://www.neoma-bs.com/en/faculty-and-research/faculty/directory/vasiljevic-dimitri,,,
Ariella Kristal,http://www.hbs.edu/akristal,,,
Grace Cormier,http://www.hbs.edu/gcormier,,,
Aurora Turek,http://www.hbs.edu/aturek,,,
